Tiempos por proceso
Reserva | Confirmación Pagos | Cancelación | Validación
120ms   |71ms                |119ms        |128ms      

Reservadas | Confirmadas | Canceladas | Aprobadas
0          |0            |0           |0         
2          |0            |0           |0         
3          |0            |0           |0         
5          |0            |0           |0         
7          |0            |0           |0         
7          |1            |0           |0         
9          |0            |0           |0         
9          |1            |0           |1         
10         |1            |0           |2         
12         |0            |0           |2         
12         |1            |0           |3         
13         |1            |0           |4         
14         |0            |0           |4         
15         |1            |0           |5         
16         |1            |0           |6         
17         |0            |1           |6         
19         |0            |1           |6         
20         |1            |1           |6         
20         |1            |1           |6         
21         |2            |1           |7         
21         |2            |1           |7         
21         |2            |1           |7         
21         |2            |1           |7         
22         |1            |1           |8         
23         |1            |2           |8         
24         |0            |2           |9         
24         |2            |2           |9         
26         |1            |2           |9         
27         |1            |2           |10        
26         |1            |3           |11        
27         |1            |4           |11        
29         |0            |4           |12        
31         |0            |4           |12        
31         |1            |4           |12        
31         |2            |4           |13        
32         |1            |4           |14        
32         |2            |4           |15        
34         |1            |4           |16        
35         |0            |4           |16        
36         |0            |5           |17        
37         |1            |5           |17        
37         |1            |5           |18        
39         |0            |5           |18        
40         |1            |5           |19        
40         |0            |6           |20        
40         |2            |6           |20        
41         |0            |6           |21        
42         |0            |7           |21        
42         |1            |7           |21        
43         |1            |7           |22        
44         |0            |7           |22        
45         |0            |8           |23        
46         |0            |8           |23        
47         |1            |8           |23        
47         |0            |8           |24        
47         |3            |8           |24        
49         |2            |8           |24        
48         |3            |8           |26        
50         |1            |8           |27        
52         |0            |8           |29        
52         |1            |8           |29        
53         |1            |8           |30        
55         |0            |8           |31        
56         |0            |8           |31        
56         |1            |9           |31        
58         |0            |9           |32        
59         |0            |9           |32        
59         |2            |9           |32        
61         |1            |9           |33        
61         |1            |9           |34        
63         |0            |9           |34        
63         |1            |9           |35        
64         |1            |9           |36        
66         |0            |9           |36        
66         |1            |9           |37        
67         |1            |9           |38        
69         |0            |9           |38        
69         |0            |9           |39        
70         |1            |10          |39        
72         |0            |10          |39        
72         |0            |10          |40        
72         |0            |10          |40        
73         |0            |10          |40        
73         |1            |11          |40        
73         |1            |11          |40        
73         |2            |11          |40        
74         |1            |11          |41        
75         |1            |11          |42        
76         |0            |12          |43        
77         |0            |12          |43        
78         |1            |12          |43        
79         |1            |12          |44        
80         |0            |12          |44        
81         |1            |12          |45        
81         |2            |13          |46        
80         |2            |14          |46        
82         |1            |14          |47        
82         |1            |14          |47        
82         |1            |16          |48        
81         |1            |17          |48        
82         |2            |17          |49        
83         |1            |17          |51        
84         |0            |17          |51        
83         |1            |18          |52        
85         |1            |19          |52        
85         |1            |19          |52        
85         |0            |19          |52        
85         |0            |19          |52        
85         |0            |19          |52        
86         |0            |19          |53        
87         |0            |19          |53        
87         |2            |19          |53        
89         |0            |19          |54        
90         |0            |19          |55        
90         |2            |19          |55        
91         |1            |19          |56        
92         |1            |19          |57        
93         |1            |19          |58        
94         |0            |19          |58        
95         |1            |19          |59        
94         |0            |20          |60        
95         |1            |21          |60        
97         |0            |21          |61        
97         |0            |21          |61        
97         |0            |21          |61        
97         |0            |21          |61        
98         |0            |21          |61        
98         |2            |21          |61        
97         |1            |22          |62        
98         |1            |22          |63        
96         |3            |22          |64        
94         |3            |22          |64        
93         |4            |22          |66        
90         |5            |24          |66        
89         |5            |25          |66        
88         |2            |26          |67        
87         |3            |26          |69        
85         |2            |26          |70        
84         |2            |26          |71        
83         |3            |26          |73        
82         |3            |26          |74        
79         |2            |27          |75        
77         |5            |28          |75        
75         |7            |28          |75        
72         |8            |28          |75        
72         |8            |28          |77        
70         |9            |28          |78        
69         |8            |29          |79        
67         |7            |29          |80        
66         |7            |29          |81        
64         |8            |30          |83        
62         |9            |30          |84        
60         |10           |30          |85        
59         |10           |30          |86        
57         |11           |30          |87        
55         |10           |30          |88        
53         |11           |31          |90        
51         |10           |31          |91        
50         |11           |31          |93        
48         |11           |31          |93        
47         |12           |31          |95        
45         |11           |31          |96        
44         |12           |31          |98        
42         |11           |31          |99        
41         |11           |31          |100       
40         |12           |31          |102       
38         |11           |32          |103       
36         |12           |32          |105       
34         |14           |32          |105       
33         |13           |32          |107       
31         |14           |32          |108       
30         |11           |33          |109       
29         |12           |34          |110       
28         |12           |34          |111       
26         |11           |36          |111       
23         |12           |36          |112       
22         |13           |36          |114       
19         |14           |37          |114       
18         |14           |37          |116       
16         |15           |37          |117       
14         |14           |37          |118       
12         |15           |38          |120       
10         |14           |38          |121       
9          |15           |38          |123       
8          |15           |38          |124       
6          |14           |38          |125       
5          |15           |38          |127       
4          |15           |38          |128       
2          |16           |38          |129       
1          |15           |39          |130       
0          |16           |39          |131       
0          |14           |39          |132       
0          |12           |40          |133       
0          |11           |40          |134       
0          |10           |40          |135       
0          |9            |40          |136       
0          |8            |40          |137       
0          |7            |40          |139       
0          |6            |40          |140       
0          |5            |40          |141       
0          |4            |40          |142       
0          |2            |40          |143       
0          |1            |40          |145       
0          |0            |40          |145       
0          |0            |40          |146       
Duración: 40.769 |  Ocupación Total: 78.49462365591397
