Tiempos por proceso
Reserva | Confirmación Pagos | Cancelación | Validación
40ms    |105ms               |110ms        |48ms       

Reservadas | Confirmadas | Canceladas | Aprobadas
0          |0            |0           |0         
4          |0            |0           |0         
7          |1            |0           |0         
11         |2            |0           |0         
15         |2            |0           |1         
18         |1            |0           |3         
21         |2            |0           |4         
25         |2            |0           |5         
29         |1            |0           |7         
32         |2            |0           |8         
36         |2            |0           |9         
39         |1            |0           |11        
42         |2            |0           |12        
46         |1            |0           |13        
49         |3            |0           |14        
52         |5            |0           |14        
56         |4            |0           |15        
58         |4            |1           |17        
62         |3            |1           |19        
66         |2            |1           |21        
70         |1            |1           |23        
73         |2            |1           |24        
77         |2            |1           |25        
80         |2            |1           |27        
83         |2            |1           |28        
87         |1            |1           |29        
90         |1            |2           |31        
93         |0            |2           |32        
97         |2            |3           |32        
100        |1            |4           |34        
103        |0            |5           |35        
107        |1            |5           |35        
111        |1            |5           |35        
114        |2            |6           |36        
118        |2            |6           |37        
122        |1            |7           |38        
125        |1            |7           |38        
128        |1            |9           |39        
131        |3            |9           |39        
131        |2            |10          |42        
130        |3            |10          |42        
128        |4            |10          |43        
125        |5            |12          |44        
123        |6            |12          |44        
121        |6            |12          |46        
119        |6            |12          |46        
118        |6            |13          |48        
117        |7            |13          |48        
115        |7            |14          |50        
112        |6            |15          |52        
110        |5            |15          |53        
109        |6            |15          |55        
107        |5            |15          |56        
106        |4            |16          |57        
105        |4            |16          |60        
104        |4            |16          |61        
102        |4            |16          |63        
100        |4            |16          |63        
99         |6            |17          |63        
97         |7            |17          |64        
96         |8            |17          |64        
94         |9            |17          |65        
92         |8            |17          |66        
91         |8            |17          |69        
90         |7            |18          |70        
88         |6            |18          |71        
87         |4            |18          |74        
86         |4            |18          |77        
85         |4            |18          |78        
83         |4            |18          |80        
82         |4            |18          |81        
80         |5            |19          |82        
77         |4            |19          |83        
76         |6            |19          |84        
74         |7            |19          |85        
72         |7            |20          |86        
70         |7            |20          |88        
68         |9            |20          |88        
67         |6            |20          |90        
66         |8            |21          |90        
64         |9            |22          |91        
61         |8            |22          |92        
60         |8            |22          |95        
59         |8            |22          |96        
57         |7            |23          |97        
55         |8            |24          |98        
54         |7            |24          |100       
52         |9            |24          |100       
51         |8            |24          |102       
49         |9            |25          |102       
48         |10           |25          |102       
46         |10           |25          |104       
44         |10           |25          |104       
43         |11           |25          |106       
41         |10           |25          |107       
40         |11           |26          |108       
39         |12           |26          |108       
37         |12           |27          |109       
36         |13           |27          |109       
35         |11           |28          |111       
33         |13           |28          |111       
32         |12           |28          |113       
30         |14           |28          |113       
28         |13           |29          |115       
26         |13           |29          |117       
25         |13           |29          |118       
23         |13           |29          |120       
21         |15           |29          |120       
20         |15           |29          |121       
18         |14           |29          |122       
17         |15           |30          |123       
16         |15           |30          |124       
14         |14           |30          |127       
13         |14           |30          |128       
11         |13           |30          |129       
10         |14           |31          |130       
8          |14           |31          |130       
7          |15           |31          |132       
5          |15           |31          |132       
4          |16           |31          |134       
2          |17           |31          |135       
1          |17           |31          |136       
0          |16           |31          |137       
0          |15           |32          |138       
0          |13           |32          |141       
0          |10           |32          |143       
0          |8            |32          |145       
0          |5            |32          |149       
0          |3            |32          |151       
0          |1            |32          |153       
0          |0            |32          |154       
Duración: 26.005 |  Ocupación Total: 82.79569892473118
