Tiempos por proceso
Reserva | Confirmación Pagos | Cancelación | Validación
79ms    |67ms                |58ms         |82ms       

Reservadas | Confirmadas | Canceladas | Aprobadas
0          |0            |0           |0         
2          |0            |0           |0         
4          |0            |0           |0         
6          |0            |0           |0         
7          |1            |0           |1         
7          |1            |0           |2         
9          |1            |0           |2         
11         |1            |0           |4         
12         |1            |0           |5         
14         |1            |0           |6         
15         |0            |0           |7         
17         |0            |1           |7         
18         |0            |2           |8         
19         |0            |2           |8         
21         |1            |2           |9         
22         |1            |2           |10        
24         |1            |2           |11        
25         |1            |2           |12        
27         |1            |2           |13        
28         |1            |2           |14        
30         |1            |2           |15        
31         |1            |2           |16        
31         |2            |2           |16        
31         |2            |2           |16        
31         |2            |2           |16        
32         |1            |2           |16        
31         |1            |2           |18        
33         |2            |2           |18        
36         |0            |2           |20        
36         |0            |3           |20        
38         |1            |3           |21        
39         |1            |3           |22        
41         |1            |4           |22        
42         |1            |4           |23        
44         |1            |4           |23        
45         |1            |4           |25        
47         |1            |4           |26        
47         |1            |5           |27        
47         |2            |5           |27        
48         |1            |6           |30        
50         |0            |7           |30        
52         |1            |7           |30        
53         |1            |7           |30        
55         |1            |7           |32        
56         |0            |9           |32        
58         |0            |9           |32        
59         |1            |9           |32        
60         |2            |9           |33        
60         |3            |9           |34        
63         |1            |10          |35        
64         |1            |10          |36        
65         |1            |11          |36        
67         |0            |11          |37        
68         |0            |11          |37        
70         |0            |11          |39        
71         |0            |11          |39        
72         |2            |11          |40        
73         |0            |11          |41        
75         |0            |11          |42        
76         |1            |11          |42        
78         |0            |11          |43        
78         |2            |11          |44        
80         |1            |11          |46        
81         |1            |11          |46        
83         |0            |12          |47        
84         |1            |12          |47        
86         |0            |12          |49        
86         |2            |12          |49        
89         |0            |12          |51        
89         |2            |12          |51        
92         |0            |12          |52        
92         |2            |12          |53        
94         |1            |12          |55        
95         |1            |12          |56        
97         |0            |13          |57        
98         |0            |14          |57        
99         |0            |15          |57        
101        |0            |15          |58        
102        |0            |15          |58        
102        |0            |15          |58        
102        |1            |15          |58        
102        |1            |15          |58        
102        |1            |15          |58        
103        |1            |15          |58        
104        |2            |15          |59        
106        |0            |15          |61        
107        |1            |15          |61        
107        |1            |15          |62        
105        |2            |15          |63        
103        |2            |16          |65        
100        |3            |16          |66        
98         |2            |16          |67        
97         |3            |16          |69        
95         |2            |16          |70        
94         |3            |16          |72        
92         |3            |17          |73        
90         |5            |17          |73        
88         |5            |17          |75        
86         |6            |17          |76        
84         |5            |17          |77        
83         |6            |17          |79        
81         |5            |17          |80        
79         |5            |17          |82        
77         |6            |17          |83        
76         |7            |17          |85        
74         |8            |18          |85        
72         |7            |18          |86        
71         |8            |18          |88        
69         |8            |18          |90        
65         |9            |19          |90        
64         |9            |20          |92        
63         |8            |21          |93        
61         |8            |21          |95        
59         |7            |21          |96        
57         |10           |21          |97        
54         |8            |23          |98        
53         |9            |23          |100       
51         |8            |24          |102       
47         |7            |26          |103       
45         |8            |26          |104       
44         |8            |27          |105       
41         |8            |27          |107       
39         |9            |28          |108       
36         |10           |28          |109       
34         |13           |28          |110       
32         |14           |29          |111       
30         |12           |30          |113       
27         |13           |30          |113       
25         |14           |30          |114       
24         |15           |30          |116       
22         |15           |30          |118       
20         |16           |30          |119       
17         |17           |31          |120       
17         |17           |31          |120       
15         |16           |31          |121       
13         |19           |31          |122       
10         |20           |31          |122       
10         |19           |32          |124       
7          |20           |32          |124       
5          |21           |32          |125       
4          |22           |32          |127       
2          |20           |33          |128       
1          |20           |34          |130       
0          |19           |34          |132       
0          |17           |35          |133       
0          |14           |36          |135       
0          |13           |36          |137       
0          |11           |36          |138       
0          |11           |36          |138       
0          |11           |36          |138       
0          |11           |36          |139       
0          |10           |36          |139       
0          |9            |36          |140       
0          |8            |36          |141       
0          |6            |36          |143       
0          |6            |36          |144       
0          |4            |36          |145       
0          |3            |36          |147       
0          |1            |36          |148       
0          |0            |36          |150       
0          |0            |36          |150       
Duración: 31.961 |  Ocupación Total: 80.64516129032258
