Tiempos por proceso
Reserva | Confirmación Pagos | Cancelación | Validación
115ms   |81ms                |69ms         |109ms      

Reservadas | Confirmadas | Canceladas | Aprobadas
0          |0            |0           |0         
2          |0            |0           |0         
3          |0            |0           |0         
4          |1            |0           |0         
5          |0            |0           |0         
5          |1            |0           |1         
6          |1            |1           |2         
7          |1            |1           |3         
7          |1            |1           |3         
9          |0            |1           |5         
8          |1            |2           |5         
8          |2            |2           |6         
10         |0            |2           |7         
11         |0            |2           |8         
11         |1            |3           |8         
13         |0            |3           |9         
14         |0            |3           |9         
15         |0            |4           |9         
16         |1            |4           |9         
16         |1            |4           |10        
18         |0            |4           |11        
19         |1            |4           |11        
19         |1            |4           |12        
21         |0            |4           |13        
21         |2            |4           |13        
21         |2            |4           |14        
23         |0            |4           |16        
24         |1            |4           |16        
23         |1            |4           |16        
24         |2            |4           |17        
26         |1            |4           |19        
26         |2            |4           |20        
27         |1            |4           |21        
29         |0            |4           |22        
30         |1            |4           |22        
30         |0            |5           |23        
31         |1            |5           |23        
33         |0            |5           |24        
33         |1            |5           |24        
34         |1            |5           |25        
36         |0            |5           |26        
36         |1            |5           |26        
37         |1            |5           |27        
39         |0            |5           |28        
39         |1            |5           |28        
40         |1            |5           |29        
42         |0            |5           |30        
42         |1            |6           |30        
43         |0            |6           |31        
44         |1            |6           |31        
45         |0            |6           |32        
46         |0            |6           |32        
47         |0            |7           |33        
48         |0            |7           |33        
49         |1            |7           |33        
50         |1            |7           |34        
51         |0            |7           |35        
52         |0            |8           |35        
52         |2            |8           |35        
53         |1            |8           |36        
54         |0            |9           |37        
55         |1            |9           |37        
55         |2            |9           |37        
57         |0            |10          |38        
57         |1            |10          |38        
57         |2            |10          |39        
55         |1            |11          |40        
57         |2            |11          |41        
58         |1            |11          |43        
59         |1            |11          |44        
58         |1            |11          |44        
60         |0            |12          |45        
61         |1            |12          |46        
62         |1            |12          |47        
63         |0            |12          |48        
64         |0            |12          |48        
65         |1            |12          |49        
66         |0            |12          |50        
67         |1            |12          |50        
68         |1            |12          |51        
69         |0            |12          |52        
69         |2            |12          |52        
69         |3            |12          |53        
70         |2            |13          |54        
71         |0            |13          |56        
72         |1            |13          |56        
72         |0            |14          |56        
73         |1            |15          |56        
74         |1            |15          |57        
74         |1            |15          |57        
75         |1            |15          |59        
76         |1            |15          |60        
76         |0            |16          |61        
78         |0            |16          |61        
79         |1            |16          |61        
79         |1            |16          |61        
80         |0            |17          |62        
82         |0            |17          |63        
82         |1            |17          |63        
82         |1            |18          |64        
82         |2            |18          |65        
82         |0            |19          |66        
83         |1            |19          |67        
85         |0            |19          |68        
86         |1            |19          |68        
86         |1            |19          |69        
85         |2            |19          |70        
87         |1            |19          |71        
88         |0            |19          |73        
87         |3            |19          |73        
89         |1            |19          |74        
90         |1            |19          |76        
88         |2            |19          |76        
86         |3            |19          |77        
83         |5            |20          |77        
82         |4            |20          |79        
80         |3            |20          |80        
79         |5            |20          |81        
77         |4            |20          |82        
76         |5            |20          |84        
74         |4            |21          |85        
72         |5            |22          |86        
71         |5            |22          |87        
69         |6            |22          |88        
67         |5            |22          |89        
66         |6            |22          |91        
65         |6            |22          |92        
63         |5            |22          |93        
62         |6            |22          |95        
60         |5            |22          |96        
59         |6            |22          |98        
58         |6            |22          |99        
56         |5            |22          |100       
55         |6            |22          |102       
53         |5            |22          |103       
52         |5            |22          |104       
51         |6            |22          |106       
49         |5            |22          |107       
48         |6            |22          |109       
47         |6            |22          |110       
45         |5            |23          |111       
43         |7            |23          |112       
42         |6            |23          |114       
40         |7            |23          |115       
39         |7            |23          |116       
37         |6            |23          |117       
36         |7            |23          |119       
35         |7            |23          |120       
33         |6            |23          |121       
32         |5            |23          |123       
31         |6            |24          |124       
29         |5            |24          |125       
28         |6            |24          |127       
26         |6            |25          |128       
24         |5            |25          |129       
22         |6            |26          |131       
19         |5            |28          |132       
17         |7            |28          |133       
15         |6            |29          |134       
12         |7            |29          |135       
12         |6            |30          |137       
10         |5            |31          |138       
8          |7            |31          |139       
7          |7            |31          |141       
5          |7            |31          |142       
3          |6            |32          |143       
0          |7            |33          |145       
0          |7            |33          |146       
0          |5            |33          |148       
0          |4            |33          |149       
0          |2            |33          |150       
0          |2            |33          |151       
0          |0            |33          |153       
0          |0            |33          |153       
Duración: 34.579 |  Ocupación Total: 82.25806451612904
