Tiempos por proceso
Reserva | Confirmación Pagos | Cancelación | Validación
103ms   |52ms                |77ms         |42ms       

Reservadas | Confirmadas | Canceladas | Aprobadas
0          |0            |0           |0         
2          |0            |0           |0         
3          |0            |0           |0         
5          |0            |0           |0         
7          |0            |0           |0         
6          |3            |0           |0         
7          |1            |0           |1         
9          |0            |0           |3         
9          |1            |0           |3         
11         |1            |0           |4         
12         |1            |0           |5         
12         |1            |0           |6         
14         |0            |0           |7         
15         |1            |0           |7         
15         |2            |0           |8         
17         |0            |0           |10        
15         |2            |1           |10        
16         |1            |2           |12        
17         |1            |2           |13        
17         |1            |2           |14        
18         |0            |2           |16        
18         |1            |2           |17        
18         |1            |2           |18        
20         |0            |2           |20        
21         |1            |2           |20        
20         |2            |2           |21        
22         |0            |3           |22        
24         |0            |3           |22        
24         |2            |3           |22        
26         |0            |3           |24        
27         |1            |3           |24        
27         |1            |3           |25        
28         |0            |3           |27        
29         |1            |3           |27        
30         |0            |4           |28        
32         |0            |4           |28        
33         |1            |4           |28        
33         |1            |4           |29        
35         |0            |4           |30        
34         |3            |4           |30        
36         |0            |4           |33        
36         |2            |4           |33        
37         |0            |4           |35        
39         |0            |4           |35        
40         |0            |5           |35        
41         |0            |5           |35        
42         |0            |5           |36        
44         |0            |5           |36        
45         |0            |5           |37        
46         |1            |5           |37        
48         |0            |5           |38        
49         |0            |5           |38        
50         |0            |6           |38        
51         |1            |6           |38        
52         |0            |6           |39        
53         |0            |6           |40        
54         |0            |6           |41        
55         |1            |6           |41        
55         |2            |6           |42        
57         |0            |6           |44        
58         |1            |6           |44        
58         |1            |6           |45        
60         |0            |6           |46        
60         |1            |6           |46        
62         |0            |6           |48        
62         |2            |6           |48        
64         |0            |6           |50        
65         |0            |6           |50        
65         |1            |7           |50        
65         |1            |7           |51        
66         |1            |7           |53        
68         |0            |7           |54        
67         |2            |7           |54        
69         |0            |7           |55        
71         |0            |7           |56        
71         |2            |7           |56        
72         |1            |7           |58        
74         |0            |7           |59        
74         |1            |7           |59        
75         |1            |7           |60        
77         |0            |7           |61        
78         |0            |7           |62        
79         |1            |7           |62        
80         |1            |7           |63        
81         |0            |7           |64        
82         |0            |8           |64        
82         |1            |8           |64        
82         |2            |8           |65        
84         |0            |8           |67        
83         |2            |8           |67        
85         |0            |8           |70        
84         |3            |8           |70        
86         |0            |8           |73        
86         |2            |8           |73        
88         |0            |8           |75        
88         |0            |9           |75        
89         |0            |9           |76        
90         |1            |9           |76        
91         |0            |9           |77        
93         |0            |9           |78        
93         |0            |11          |78        
93         |1            |11          |78        
92         |2            |12          |80        
88         |2            |13          |82        
85         |4            |13          |83        
83         |4            |13          |85        
80         |6            |13          |86        
78         |5            |13          |89        
75         |5            |13          |90        
73         |6            |13          |93        
70         |5            |13          |95        
68         |6            |13          |98        
65         |7            |14          |99        
62         |6            |14          |101       
60         |5            |14          |104       
58         |4            |15          |106       
57         |5            |16          |107       
53         |8            |16          |108       
50         |8            |16          |109       
48         |9            |17          |111       
46         |8            |17          |114       
43         |7            |17          |116       
41         |6            |18          |118       
38         |9            |18          |120       
36         |9            |18          |122       
34         |7            |19          |125       
29         |8            |21          |127       
27         |7            |22          |129       
25         |6            |22          |132       
21         |6            |23          |133       
19         |6            |23          |137       
16         |7            |23          |139       
13         |5            |25          |140       
8          |5            |28          |144       
4          |4            |30          |146       
0          |5            |32          |148       
0          |3            |33          |150       
0          |2            |33          |151       
0          |1            |33          |152       
0          |0            |33          |153       
Duración: 27.729 |  Ocupación Total: 82.25806451612904
