Tiempos por proceso
Reserva | Confirmación Pagos | Cancelación | Validación
47ms    |47ms                |73ms         |113ms      

Reservadas | Confirmadas | Canceladas | Aprobadas
0          |0            |0           |0         
2          |0            |0           |0         
5          |0            |0           |0         
9          |0            |0           |0         
10         |1            |0           |0         
12         |3            |0           |0         
15         |2            |0           |2         
16         |3            |0           |4         
19         |4            |1           |5         
22         |2            |1           |6         
25         |3            |1           |8         
27         |2            |1           |10        
31         |2            |1           |10        
32         |3            |2           |12        
35         |2            |2           |14        
38         |0            |2           |16        
40         |0            |4           |16        
42         |1            |4           |17        
45         |0            |5           |19        
47         |0            |5           |19        
48         |2            |6           |20        
50         |3            |6           |21        
52         |1            |6           |22        
55         |2            |6           |24        
58         |1            |6           |25        
58         |1            |8           |26        
60         |1            |10          |28        
61         |3            |10          |29        
63         |0            |11          |30        
67         |0            |12          |31        
69         |2            |12          |32        
72         |2            |12          |33        
74         |2            |12          |35        
76         |2            |14          |35        
79         |0            |15          |37        
80         |2            |15          |38        
83         |1            |15          |40        
87         |0            |15          |42        
89         |0            |16          |42        
89         |0            |16          |42        
89         |0            |16          |42        
89         |0            |16          |42        
88         |1            |16          |43        
90         |1            |16          |43        
91         |2            |17          |44        
94         |2            |17          |45        
97         |1            |17          |46        
99         |2            |17          |48        
103        |1            |17          |50        
105        |1            |17          |50        
106        |4            |17          |51        
109        |1            |18          |53        
111        |1            |18          |54        
108        |4            |18          |55        
107        |4            |18          |56        
104        |5            |19          |57        
102        |4            |19          |58        
100        |6            |19          |60        
97         |5            |20          |61        
95         |7            |20          |63        
93         |6            |21          |63        
91         |6            |22          |64        
88         |8            |22          |65        
86         |11           |22          |66        
84         |10           |22          |67        
84         |11           |22          |68        
83         |11           |22          |69        
81         |9            |23          |70        
80         |10           |23          |72        
78         |11           |23          |73        
76         |11           |24          |74        
73         |13           |25          |74        
71         |12           |25          |75        
68         |16           |25          |76        
66         |17           |25          |77        
64         |15           |26          |78        
63         |16           |26          |80        
59         |18           |27          |80        
57         |19           |27          |82        
54         |19           |27          |83        
53         |20           |27          |85        
50         |20           |28          |85        
49         |21           |28          |87        
46         |22           |29          |88        
42         |23           |30          |88        
41         |24           |30          |90        
40         |23           |31          |91        
37         |24           |31          |91        
36         |25           |31          |93        
34         |24           |32          |93        
32         |26           |32          |95        
29         |29           |32          |95        
27         |29           |32          |97        
25         |30           |32          |98        
22         |30           |32          |99        
21         |31           |32          |101       
18         |31           |32          |102       
16         |32           |32          |103       
14         |34           |32          |105       
12         |34           |33          |106       
9          |37           |33          |106       
7          |36           |34          |107       
4          |39           |35          |108       
4          |39           |35          |108       
0          |39           |36          |108       
0          |40           |36          |109       
0          |38           |36          |111       
0          |36           |37          |112       
0          |36           |37          |113       
0          |35           |37          |114       
0          |33           |37          |115       
0          |33           |37          |116       
0          |31           |37          |117       
0          |31           |37          |118       
0          |29           |37          |120       
0          |28           |37          |120       
0          |27           |37          |122       
0          |25           |37          |123       
0          |25           |37          |124       
0          |23           |37          |125       
0          |22           |37          |126       
0          |21           |37          |128       
0          |19           |37          |129       
0          |18           |37          |130       
0          |18           |37          |131       
0          |18           |37          |131       
0          |17           |37          |131       
0          |17           |37          |131       
0          |16           |37          |132       
0          |16           |37          |132       
0          |16           |37          |132       
0          |15           |37          |133       
0          |14           |37          |134       
0          |13           |37          |135       
0          |12           |37          |136       
0          |11           |37          |138       
0          |9            |37          |139       
0          |9            |37          |140       
0          |7            |37          |141       
0          |6            |37          |142       
0          |5            |37          |144       
0          |3            |37          |145       
0          |3            |37          |146       
0          |1            |37          |147       
0          |0            |37          |149       
0          |0            |37          |149       
Duración: 29.135 |  Ocupación Total: 80.10752688172043
