Tiempos por proceso
Reserva | Confirmación Pagos | Cancelación | Validación
105ms   |69ms                |82ms         |73ms       

Reservadas | Confirmadas | Canceladas | Aprobadas
0          |0            |0           |0         
2          |0            |0           |0         
4          |0            |0           |0         
6          |0            |0           |0         
7          |0            |0           |0         
8          |0            |0           |0         
8          |1            |1           |1         
10         |0            |1           |2         
11         |0            |1           |2         
11         |2            |1           |2         
13         |0            |1           |3         
13         |2            |1           |4         
14         |1            |2           |5         
16         |0            |2           |6         
16         |1            |2           |6         
17         |1            |2           |7         
19         |0            |2           |8         
20         |0            |2           |8         
21         |1            |2           |9         
22         |1            |2           |10        
23         |0            |3           |11        
24         |0            |3           |11        
25         |1            |3           |11        
26         |1            |3           |12        
28         |0            |3           |13        
28         |1            |3           |13        
29         |1            |3           |14        
31         |0            |3           |15        
32         |0            |4           |15        
33         |0            |5           |15        
34         |1            |5           |15        
35         |1            |5           |16        
37         |0            |5           |17        
37         |1            |5           |17        
38         |1            |5           |18        
40         |0            |5           |19        
41         |0            |6           |19        
42         |1            |6           |19        
43         |0            |6           |20        
44         |0            |6           |21        
45         |0            |6           |21        
46         |1            |6           |22        
47         |1            |6           |23        
48         |1            |6           |24        
50         |0            |6           |25        
50         |1            |6           |25        
51         |0            |6           |26        
52         |1            |6           |27        
53         |0            |6           |28        
55         |0            |6           |29        
55         |2            |6           |29        
56         |0            |6           |31        
58         |0            |6           |31        
57         |2            |6           |31        
58         |2            |6           |33        
60         |0            |6           |35        
60         |2            |6           |35        
60         |0            |6           |37        
61         |0            |7           |37        
62         |1            |7           |38        
63         |0            |7           |39        
64         |0            |7           |40        
65         |1            |7           |41        
66         |1            |7           |42        
68         |0            |7           |43        
68         |1            |7           |43        
70         |0            |7           |44        
71         |0            |7           |44        
73         |0            |7           |45        
73         |2            |7           |45        
74         |1            |7           |47        
76         |0            |7           |48        
76         |1            |7           |48        
77         |0            |7           |49        
79         |0            |7           |50        
79         |2            |7           |50        
81         |0            |7           |52        
82         |1            |7           |52        
82         |1            |7           |52        
84         |0            |7           |54        
86         |0            |7           |54        
86         |2            |7           |54        
87         |1            |8           |55        
88         |0            |8           |56        
89         |1            |8           |56        
90         |0            |9           |57        
92         |0            |9           |57        
91         |3            |9           |57        
92         |2            |9           |58        
94         |0            |10          |60        
94         |1            |11          |60        
95         |0            |11          |61        
97         |0            |11          |61        
98         |1            |11          |61        
99         |0            |11          |62        
100        |1            |11          |63        
101        |1            |11          |64        
102        |0            |11          |65        
103        |0            |11          |66        
104        |0            |12          |66        
104        |1            |12          |66        
106        |0            |12          |68        
102        |3            |12          |68        
100        |2            |12          |69        
98         |2            |13          |71        
95         |3            |13          |72        
94         |4            |14          |73        
91         |7            |14          |73        
89         |7            |14          |75        
87         |5            |14          |77        
86         |6            |15          |78        
82         |6            |16          |79        
81         |7            |16          |81        
79         |7            |16          |83        
77         |5            |17          |84        
75         |6            |18          |85        
71         |6            |19          |87        
70         |7            |19          |89        
68         |7            |19          |91        
66         |7            |20          |93        
64         |6            |20          |95        
62         |6            |20          |97        
60         |5            |20          |98        
58         |8            |20          |99        
56         |8            |20          |101       
55         |7            |20          |103       
51         |7            |22          |104       
48         |8            |22          |105       
46         |9            |22          |106       
45         |10           |23          |108       
42         |10           |23          |110       
40         |10           |23          |112       
39         |9            |23          |114       
37         |9            |23          |116       
35         |8            |23          |117       
33         |8            |25          |118       
31         |9            |25          |120       
29         |9            |25          |122       
27         |7            |26          |123       
25         |9            |26          |125       
23         |10           |26          |126       
21         |8            |26          |128       
20         |8            |27          |130       
18         |8            |27          |132       
16         |7            |27          |133       
14         |7            |27          |135       
12         |8            |27          |136       
10         |8            |27          |138       
9          |9            |27          |140       
7          |10           |27          |141       
5          |10           |27          |143       
3          |10           |27          |145       
1          |9            |27          |146       
0          |9            |27          |148       
0          |8            |27          |151       
0          |6            |27          |153       
0          |4            |27          |155       
0          |2            |27          |156       
0          |0            |27          |158       
0          |0            |27          |159       
Duración: 31.744 |  Ocupación Total: 85.48387096774194
