Tiempos por proceso
Reserva | Confirmación Pagos | Cancelación | Validación
91ms    |126ms               |55ms         |45ms       

Reservadas | Confirmadas | Canceladas | Aprobadas
0          |0            |0           |0         
2          |0            |0           |0         
4          |0            |0           |0         
6          |0            |0           |0         
7          |0            |0           |0         
8          |1            |1           |0         
10         |0            |1           |1         
11         |1            |1           |1         
11         |2            |1           |2         
13         |0            |1           |3         
15         |1            |1           |4         
17         |0            |1           |5         
18         |1            |1           |5         
20         |0            |1           |6         
21         |0            |2           |6         
22         |1            |2           |6         
23         |0            |3           |7         
23         |2            |3           |7         
25         |0            |3           |8         
27         |0            |3           |9         
28         |2            |3           |9         
30         |0            |3           |11        
30         |1            |4           |11        
32         |0            |4           |12        
34         |0            |4           |12        
35         |0            |5           |12        
36         |1            |5           |12        
38         |0            |5           |13        
39         |1            |5           |13        
40         |2            |5           |14        
41         |1            |5           |16        
41         |1            |5           |17        
43         |2            |5           |17        
45         |0            |6           |18        
46         |1            |6           |18        
47         |0            |7           |19        
49         |0            |7           |19        
50         |1            |7           |19        
52         |2            |7           |19        
54         |0            |8           |20        
54         |2            |8           |20        
56         |1            |8           |20        
58         |0            |8           |22        
58         |2            |8           |22        
61         |0            |9           |22        
61         |1            |10          |23        
63         |0            |10          |24        
65         |0            |10          |24        
66         |1            |10          |24        
67         |2            |10          |24        
69         |0            |11          |25        
71         |0            |11          |25        
71         |2            |11          |25        
73         |0            |13          |25        
75         |0            |13          |25        
75         |2            |13          |25        
78         |0            |14          |26        
78         |1            |14          |26        
80         |1            |15          |26        
82         |0            |15          |27        
82         |2            |15          |27        
84         |1            |15          |28        
84         |2            |15          |29        
86         |0            |16          |30        
87         |1            |16          |30        
89         |1            |17          |30        
91         |0            |17          |31        
91         |1            |17          |31        
93         |2            |17          |31        
95         |0            |17          |33        
95         |2            |17          |33        
95         |3            |17          |33        
97         |2            |17          |35        
97         |3            |17          |36        
100        |0            |18          |38        
101        |0            |18          |38        
102        |0            |18          |38        
103        |2            |18          |39        
105        |0            |18          |40        
106        |1            |18          |41        
106        |1            |18          |42        
108        |2            |18          |42        
108        |2            |19          |43        
111        |0            |19          |45        
112        |1            |19          |45        
113        |2            |19          |45        
115        |0            |19          |47        
115        |1            |19          |47        
117        |1            |20          |47        
116        |1            |20          |48        
115        |2            |20          |48        
113        |4            |20          |48        
112        |4            |20          |49        
110        |4            |21          |50        
108        |4            |22          |51        
107        |5            |22          |51        
105        |4            |22          |52        
104        |5            |23          |53        
103        |5            |23          |54        
102        |5            |23          |55        
99         |6            |24          |56        
98         |5            |25          |58        
96         |5            |25          |59        
95         |5            |25          |60        
93         |3            |25          |62        
92         |1            |25          |65        
91         |2            |25          |67        
90         |2            |25          |68        
89         |2            |25          |69        
87         |1            |25          |70        
86         |0            |25          |72        
85         |2            |26          |72        
84         |2            |26          |73        
83         |2            |26          |74        
81         |2            |26          |76        
80         |2            |27          |77        
78         |3            |27          |77        
77         |2            |28          |78        
75         |4            |28          |78        
74         |4            |28          |79        
72         |6            |28          |79        
71         |6            |29          |80        
68         |5            |29          |81        
67         |6            |31          |82        
65         |5            |32          |84        
61         |5            |33          |84        
60         |6            |33          |86        
59         |7            |33          |86        
58         |6            |34          |87        
56         |8            |34          |87        
55         |7            |34          |89        
54         |8            |34          |89        
52         |7            |34          |90        
51         |8            |35          |91        
50         |9            |35          |91        
49         |8            |35          |93        
47         |10           |35          |93        
46         |9            |35          |95        
44         |11           |35          |95        
43         |9            |36          |97        
42         |10           |36          |97        
40         |10           |36          |97        
39         |10           |37          |99        
38         |11           |37          |99        
37         |10           |37          |101       
35         |12           |37          |101       
34         |11           |37          |103       
33         |12           |37          |103       
31         |11           |37          |104       
30         |12           |38          |105       
29         |13           |38          |105       
27         |14           |38          |106       
26         |15           |38          |106       
25         |14           |38          |108       
23         |16           |38          |108       
22         |16           |39          |109       
19         |16           |39          |109       
18         |17           |39          |111       
17         |18           |39          |111       
16         |16           |40          |113       
14         |18           |40          |113       
13         |17           |40          |115       
11         |19           |41          |115       
9          |18           |41          |117       
8          |19           |41          |117       
6          |18           |41          |118       
5          |20           |41          |119       
4          |21           |41          |119       
2          |21           |42          |121       
0          |22           |42          |121       
0          |20           |43          |123       
0          |19           |43          |124       
0          |17           |43          |126       
0          |15           |43          |128       
0          |12           |43          |130       
0          |11           |43          |132       
0          |7            |43          |135       
0          |5            |43          |137       
0          |4            |43          |138       
0          |2            |43          |140       
0          |0            |43          |143       
0          |0            |43          |143       
Duración: 36.126 |  Ocupación Total: 76.88172043010752
