Tiempos por proceso
Reserva | Confirmación Pagos | Cancelación | Validación
118ms   |101ms               |101ms        |95ms       

Reservadas | Confirmadas | Canceladas | Aprobadas
0          |0            |0           |0         
1          |0            |0           |0         
3          |0            |0           |0         
4          |1            |0           |0         
4          |1            |0           |1         
6          |0            |0           |1         
6          |1            |0           |2         
7          |1            |0           |3         
7          |2            |0           |4         
8          |1            |0           |5         
10         |0            |0           |6         
11         |1            |0           |6         
11         |1            |0           |7         
13         |0            |0           |8         
14         |1            |0           |8         
14         |1            |0           |8         
14         |1            |0           |8         
14         |1            |0           |8         
14         |0            |0           |8         
15         |1            |0           |9         
16         |0            |0           |10        
17         |1            |0           |10        
18         |1            |0           |11        
19         |0            |0           |11        
20         |1            |0           |12        
20         |1            |0           |13        
21         |2            |1           |13        
22         |1            |1           |14        
21         |2            |1           |15        
22         |3            |1           |15        
22         |4            |1           |16        
23         |2            |2           |17        
24         |0            |2           |19        
24         |2            |2           |20        
26         |0            |2           |21        
27         |1            |2           |22        
27         |1            |2           |22        
27         |1            |2           |22        
27         |1            |2           |22        
28         |1            |2           |23        
28         |2            |2           |23        
30         |0            |2           |24        
31         |0            |2           |25        
32         |0            |2           |25        
31         |2            |2           |25        
32         |2            |2           |26        
34         |0            |2           |27        
35         |1            |2           |28        
36         |0            |2           |28        
37         |1            |2           |29        
39         |0            |2           |30        
40         |0            |2           |30        
40         |1            |3           |30        
42         |0            |3           |31        
43         |0            |3           |31        
43         |2            |3           |31        
45         |0            |3           |32        
46         |0            |3           |33        
47         |1            |3           |33        
49         |0            |3           |33        
49         |0            |3           |34        
50         |0            |3           |34        
52         |0            |3           |34        
53         |0            |3           |34        
53         |2            |3           |34        
55         |1            |3           |35        
56         |0            |3           |36        
56         |1            |4           |36        
57         |1            |4           |37        
58         |1            |4           |37        
59         |1            |4           |38        
60         |1            |5           |38        
61         |0            |5           |38        
62         |1            |5           |39        
62         |1            |5           |39        
63         |1            |5           |41        
64         |1            |5           |42        
65         |1            |5           |42        
66         |0            |6           |43        
67         |1            |6           |43        
67         |2            |6           |44        
68         |1            |6           |44        
68         |1            |6           |44        
68         |0            |6           |45        
68         |1            |6           |46        
70         |1            |6           |46        
70         |1            |6           |47        
71         |1            |6           |47        
71         |1            |7           |48        
73         |0            |7           |49        
74         |1            |7           |49        
74         |0            |8           |50        
75         |1            |8           |50        
76         |1            |8           |51        
77         |0            |8           |52        
77         |2            |8           |52        
77         |2            |8           |52        
78         |2            |8           |53        
79         |1            |8           |55        
80         |0            |9           |56        
81         |1            |9           |56        
80         |2            |9           |56        
82         |1            |9           |57        
83         |1            |9           |58        
84         |0            |9           |59        
85         |0            |10          |60        
86         |1            |10          |60        
86         |2            |10          |60        
87         |1            |10          |61        
89         |0            |10          |63        
89         |1            |10          |63        
89         |1            |12          |63        
88         |1            |12          |63        
89         |2            |12          |65        
91         |0            |12          |66        
92         |1            |12          |67        
92         |1            |13          |67        
93         |2            |13          |67        
93         |2            |13          |68        
93         |2            |13          |69        
94         |3            |13          |70        
95         |3            |13          |71        
96         |1            |13          |73        
96         |1            |13          |74        
95         |3            |13          |74        
92         |2            |15          |74        
91         |4            |15          |75        
89         |6            |15          |75        
87         |8            |15          |75        
86         |7            |16          |76        
85         |8            |16          |76        
84         |7            |16          |78        
81         |6            |18          |79        
79         |7            |18          |81        
77         |7            |19          |82        
75         |6            |19          |83        
74         |7            |19          |85        
73         |7            |19          |86        
71         |8            |19          |87        
68         |8            |20          |87        
67         |10           |20          |88        
66         |9            |21          |89        
65         |9            |21          |90        
63         |10           |21          |91        
62         |9            |21          |93        
60         |9            |21          |93        
59         |10           |21          |95        
57         |10           |22          |96        
55         |9            |22          |97        
54         |10           |22          |99        
53         |10           |22          |100       
51         |9            |22          |101       
50         |10           |22          |103       
48         |12           |22          |103       
47         |12           |22          |104       
45         |12           |22          |104       
44         |13           |22          |106       
42         |15           |22          |106       
41         |15           |22          |107       
39         |17           |22          |107       
37         |18           |22          |108       
36         |18           |22          |109       
34         |17           |22          |110       
33         |19           |22          |111       
32         |19           |22          |112       
31         |18           |22          |114       
28         |19           |23          |115       
28         |19           |23          |115       
28         |19           |23          |115       
28         |19           |23          |115       
28         |19           |23          |115       
27         |19           |23          |116       
26         |19           |23          |117       
25         |19           |23          |118       
24         |19           |23          |119       
22         |20           |23          |120       
20         |20           |23          |120       
20         |19           |23          |122       
17         |21           |24          |123       
16         |20           |24          |125       
15         |20           |24          |126       
14         |20           |24          |127       
12         |19           |26          |127       
10         |18           |26          |129       
9          |20           |26          |130       
7          |21           |26          |131       
6          |21           |26          |132       
4          |21           |26          |132       
3          |20           |26          |134       
2          |21           |27          |135       
1          |21           |27          |136       
0          |22           |27          |137       
0          |20           |27          |138       
0          |19           |27          |140       
0          |18           |27          |141       
0          |16           |27          |143       
0          |14           |27          |144       
0          |13           |27          |146       
0          |12           |27          |147       
0          |10           |27          |149       
0          |8            |27          |150       
0          |7            |27          |151       
0          |5            |27          |153       
0          |4            |27          |154       
0          |3            |27          |156       
0          |1            |27          |158       
0          |0            |27          |159       
Duración: 41.27 |  Ocupación Total: 85.48387096774194
