Tiempos por proceso
Reserva | Confirmación Pagos | Cancelación | Validación
72ms    |72ms                |128ms        |60ms       

Reservadas | Confirmadas | Canceladas | Aprobadas
0          |0            |0           |0         
2          |0            |0           |0         
5          |0            |0           |0         
6          |1            |0           |0         
8          |0            |0           |1         
9          |1            |1           |1         
12         |0            |1           |2         
14         |0            |1           |2         
15         |2            |1           |2         
17         |1            |1           |3         
18         |1            |2           |4         
19         |1            |2           |5         
20         |2            |2           |6         
22         |1            |3           |7         
24         |0            |4           |7         
26         |0            |4           |8         
28         |0            |4           |8         
29         |0            |5           |8         
29         |1            |5           |8         
29         |1            |5           |8         
30         |0            |5           |8         
29         |1            |6           |8         
31         |1            |6           |8         
34         |1            |7           |8         
36         |1            |7           |9         
36         |2            |7           |10        
39         |1            |7           |11        
39         |1            |9           |12        
41         |0            |10          |12        
43         |1            |10          |12        
44         |1            |10          |12        
45         |2            |10          |14        
48         |0            |10          |15        
48         |3            |10          |16        
48         |4            |10          |17        
51         |2            |10          |18        
51         |2            |10          |21        
53         |2            |10          |22        
55         |2            |10          |23        
56         |1            |10          |24        
58         |0            |12          |25        
58         |3            |12          |25        
58         |4            |12          |26        
61         |3            |12          |27        
63         |0            |13          |30        
64         |1            |13          |30        
66         |1            |13          |31        
68         |1            |14          |31        
70         |0            |14          |31        
71         |2            |14          |32        
73         |1            |14          |34        
76         |0            |14          |35        
77         |1            |14          |35        
79         |1            |14          |36        
80         |1            |15          |37        
82         |0            |15          |38        
85         |0            |15          |38        
87         |1            |15          |38        
88         |1            |15          |39        
89         |2            |15          |40        
91         |2            |15          |40        
90         |2            |15          |43        
93         |1            |15          |44        
95         |1            |16          |45        
97         |1            |16          |46        
98         |1            |16          |47        
97         |4            |16          |47        
100        |3            |16          |48        
101        |3            |16          |51        
103        |1            |16          |53        
104        |2            |16          |54        
105        |1            |16          |55        
107        |1            |16          |57        
107        |2            |16          |58        
106        |5            |16          |58        
104        |6            |16          |59        
102        |7            |16          |60        
100        |8            |17          |61        
96         |8            |18          |63        
94         |6            |19          |64        
91         |7            |20          |65        
90         |8            |20          |67        
88         |9            |20          |68        
86         |10           |20          |69        
82         |11           |22          |70        
80         |12           |22          |71        
78         |12           |22          |73        
76         |12           |23          |74        
74         |13           |23          |75        
72         |12           |23          |76        
71         |13           |24          |77        
69         |11           |25          |78        
67         |14           |25          |79        
65         |14           |26          |81        
62         |15           |26          |82        
60         |16           |26          |83        
57         |17           |28          |83        
55         |17           |28          |85        
54         |17           |29          |85        
51         |19           |29          |86        
49         |20           |29          |87        
46         |21           |30          |88        
43         |21           |31          |90        
41         |22           |31          |91        
38         |22           |31          |92        
37         |21           |32          |93        
35         |22           |33          |95        
33         |22           |33          |97        
31         |22           |33          |99        
29         |22           |33          |101       
27         |21           |33          |102       
25         |21           |33          |104       
24         |22           |33          |106       
23         |21           |34          |107       
19         |21           |35          |108       
17         |21           |35          |110       
15         |24           |35          |111       
13         |24           |35          |113       
11         |25           |35          |114       
9          |26           |35          |115       
7          |24           |35          |117       
5          |24           |35          |119       
4          |25           |35          |121       
2          |24           |35          |122       
1          |23           |36          |123       
0          |24           |37          |124       
0          |23           |37          |126       
0          |21           |37          |128       
0          |19           |37          |130       
0          |17           |37          |132       
0          |16           |37          |133       
0          |13           |37          |135       
0          |13           |37          |136       
0          |11           |37          |138       
0          |9            |37          |139       
0          |7            |37          |141       
0          |5            |37          |143       
0          |4            |37          |144       
0          |2            |37          |146       
0          |1            |37          |148       
0          |0            |37          |149       
Duración: 28.082 |  Ocupación Total: 80.10752688172043
