Tiempos por proceso
Reserva | Confirmación Pagos | Cancelación | Validación
70ms    |94ms                |81ms         |66ms       

Reservadas | Confirmadas | Canceladas | Aprobadas
0          |0            |0           |0         
2          |0            |0           |0         
5          |0            |0           |0         
7          |1            |0           |0         
7          |1            |1           |0         
9          |0            |2           |2         
11         |1            |2           |2         
12         |1            |2           |2         
14         |1            |3           |3         
15         |2            |3           |3         
17         |2            |3           |3         
19         |2            |3           |5         
21         |1            |3           |6         
23         |1            |3           |8         
25         |0            |3           |9         
27         |1            |3           |9         
29         |0            |4           |10        
31         |1            |4           |10        
32         |1            |4           |11        
34         |1            |4           |12        
35         |2            |4           |13        
38         |0            |4           |14        
38         |0            |6           |15        
41         |0            |6           |15        
42         |1            |6           |15        
43         |2            |6           |16        
44         |1            |7           |17        
47         |0            |8           |18        
48         |2            |8           |18        
49         |0            |10          |19        
51         |0            |10          |19        
53         |0            |10          |19        
55         |0            |10          |20        
56         |1            |11          |21        
58         |1            |11          |22        
60         |0            |11          |23        
61         |1            |12          |23        
62         |1            |12          |24        
63         |1            |12          |24        
66         |0            |12          |26        
67         |2            |12          |26        
69         |1            |12          |28        
70         |1            |12          |28        
73         |0            |13          |29        
74         |1            |13          |29        
76         |1            |13          |29        
79         |0            |13          |31        
80         |2            |13          |31        
83         |0            |15          |31        
83         |1            |15          |31        
86         |1            |15          |32        
88         |1            |15          |33        
90         |1            |15          |33        
91         |1            |17          |34        
92         |1            |17          |35        
94         |1            |17          |36        
96         |1            |17          |37        
98         |1            |17          |38        
100        |1            |17          |39        
101        |2            |17          |39        
104        |1            |17          |40        
105        |2            |17          |41        
107        |0            |17          |43        
108        |1            |17          |43        
110        |1            |17          |44        
111        |2            |17          |45        
114        |0            |18          |46        
115        |1            |19          |46        
115        |2            |20          |46        
116        |3            |20          |47        
114        |3            |20          |48        
112        |4            |20          |49        
110        |4            |20          |49        
109        |3            |20          |51        
108        |3            |21          |53        
107        |3            |21          |54        
105        |5            |21          |54        
104        |4            |22          |55        
101        |6            |23          |55        
99         |6            |24          |56        
98         |7            |24          |56        
96         |8            |24          |57        
94         |7            |24          |58        
91         |8            |25          |59        
91         |7            |26          |61        
89         |9            |26          |61        
87         |10           |26          |62        
85         |9            |26          |63        
84         |11           |26          |64        
82         |10           |26          |65        
81         |11           |26          |67        
80         |11           |26          |68        
79         |10           |26          |70        
77         |11           |27          |71        
74         |12           |28          |72        
72         |11           |28          |74        
70         |11           |28          |74        
69         |12           |28          |76        
66         |12           |29          |78        
64         |12           |29          |78        
63         |11           |30          |79        
62         |12           |30          |81        
60         |13           |30          |82        
59         |12           |31          |83        
57         |13           |31          |84        
56         |12           |31          |86        
53         |13           |33          |87        
51         |13           |33          |88        
49         |14           |34          |88        
48         |14           |35          |89        
45         |13           |36          |91        
43         |12           |37          |91        
42         |13           |38          |92        
41         |13           |38          |93        
39         |15           |38          |93        
37         |16           |38          |94        
35         |15           |38          |95        
34         |15           |39          |97        
33         |15           |39          |98        
31         |15           |40          |100       
28         |15           |40          |100       
27         |16           |40          |102       
25         |15           |40          |103       
24         |16           |40          |105       
22         |16           |40          |105       
21         |18           |41          |105       
19         |19           |41          |106       
18         |18           |41          |108       
16         |17           |41          |109       
15         |16           |42          |110       
14         |17           |42          |112       
12         |18           |42          |113       
11         |17           |42          |115       
9          |18           |42          |116       
8          |18           |42          |117       
6          |18           |42          |119       
5          |18           |43          |120       
1          |17           |44          |121       
0          |19           |44          |122       
0          |18           |44          |123       
0          |15           |44          |126       
0          |14           |44          |127       
0          |12           |44          |129       
0          |11           |44          |130       
0          |9            |44          |132       
0          |7            |44          |134       
0          |5            |44          |136       
0          |3            |44          |138       
0          |1            |44          |140       
0          |0            |44          |142       
Duración: 29.855 |  Ocupación Total: 76.34408602150538
