Tiempos por proceso
Reserva | Confirmación Pagos | Cancelación | Validación
87ms    |57ms                |64ms         |98ms       

Reservadas | Confirmadas | Canceladas | Aprobadas
0          |0            |0           |0         
2          |0            |0           |0         
4          |0            |0           |0         
6          |0            |0           |0         
7          |2            |0           |0         
7          |3            |0           |1         
8          |1            |1           |3         
9          |1            |1           |4         
11         |0            |1           |5         
12         |1            |1           |6         
14         |0            |1           |7         
15         |1            |1           |7         
17         |1            |1           |8         
18         |1            |1           |9         
19         |0            |1           |10        
19         |1            |1           |10        
20         |1            |1           |10        
20         |1            |1           |10        
20         |1            |1           |10        
21         |1            |1           |11        
21         |2            |1           |12        
23         |0            |2           |12        
24         |1            |2           |13        
25         |1            |3           |14        
26         |1            |3           |15        
27         |0            |4           |15        
28         |1            |4           |16        
29         |1            |4           |17        
32         |0            |4           |18        
34         |0            |4           |18        
34         |1            |5           |18        
36         |0            |5           |19        
37         |0            |5           |19        
38         |0            |5           |19        
38         |0            |5           |19        
38         |0            |5           |19        
38         |1            |5           |19        
39         |1            |5           |19        
41         |0            |5           |21        
42         |0            |5           |21        
42         |1            |6           |21        
44         |0            |7           |22        
44         |2            |7           |22        
44         |1            |8           |24        
46         |0            |8           |25        
47         |0            |8           |25        
48         |2            |8           |26        
50         |0            |9           |27        
51         |1            |9           |27        
52         |1            |9           |28        
54         |2            |9           |28        
55         |2            |9           |29        
56         |1            |9           |30        
58         |0            |10          |31        
59         |1            |10          |32        
59         |1            |10          |32        
59         |1            |10          |32        
59         |1            |10          |32        
61         |0            |11          |32        
62         |1            |11          |32        
63         |1            |11          |33        
64         |0            |12          |34        
63         |3            |12          |34        
64         |3            |12          |35        
66         |2            |12          |36        
68         |0            |13          |38        
68         |1            |14          |38        
69         |1            |14          |39        
71         |1            |14          |40        
72         |1            |14          |41        
74         |0            |14          |42        
75         |0            |14          |42        
75         |1            |14          |43        
76         |0            |14          |44        
76         |1            |14          |45        
78         |0            |14          |46        
79         |1            |14          |47        
81         |0            |14          |49        
82         |1            |14          |49        
83         |1            |14          |49        
85         |0            |14          |51        
85         |1            |14          |51        
88         |0            |14          |53        
88         |0            |15          |53        
89         |1            |16          |53        
91         |0            |16          |54        
92         |0            |16          |55        
93         |0            |16          |55        
93         |0            |16          |55        
94         |0            |16          |55        
94         |0            |16          |55        
94         |1            |16          |55        
95         |0            |16          |55        
97         |1            |16          |56        
97         |1            |16          |57        
99         |1            |16          |58        
100        |1            |16          |59        
101        |1            |16          |60        
103        |0            |16          |61        
103        |2            |16          |61        
102        |3            |16          |62        
102        |4            |16          |63        
100        |5            |16          |64        
98         |5            |17          |65        
95         |4            |18          |66        
93         |4            |18          |68        
92         |5            |18          |70        
90         |5            |18          |72        
87         |4            |19          |73        
85         |6            |19          |75        
82         |7            |19          |75        
80         |10           |19          |76        
78         |10           |19          |78        
76         |10           |19          |80        
74         |9            |19          |81        
71         |9            |20          |83        
68         |12           |21          |84        
66         |11           |21          |85        
65         |11           |22          |87        
63         |10           |22          |88        
60         |10           |23          |90        
58         |10           |24          |91        
57         |11           |25          |92        
54         |10           |26          |93        
52         |10           |27          |94        
50         |11           |28          |95        
48         |12           |28          |97        
46         |13           |28          |98        
44         |13           |28          |100       
41         |14           |29          |101       
38         |14           |29          |102       
37         |15           |30          |103       
34         |15           |30          |104       
34         |13           |32          |106       
31         |14           |33          |106       
26         |14           |35          |108       
25         |13           |36          |109       
23         |15           |36          |111       
21         |15           |37          |113       
18         |14           |37          |114       
17         |15           |37          |116       
15         |14           |37          |117       
14         |15           |37          |119       
12         |15           |37          |121       
10         |15           |38          |122       
9          |14           |38          |122       
7          |16           |39          |123       
5          |17           |40          |124       
3          |16           |41          |125       
0          |18           |41          |126       
0          |18           |41          |127       
0          |17           |41          |128       
0          |15           |41          |130       
0          |13           |41          |131       
0          |12           |41          |132       
0          |11           |41          |134       
0          |9            |41          |135       
0          |7            |41          |137       
0          |6            |41          |138       
0          |4            |41          |140       
0          |3            |41          |142       
0          |1            |41          |143       
0          |0            |41          |144       
0          |0            |41          |145       
Duración: 32.566 |  Ocupación Total: 77.95698924731182
