Tiempos por proceso
Reserva | Confirmación Pagos | Cancelación | Validación
72ms    |109ms               |67ms         |57ms       

Reservadas | Confirmadas | Canceladas | Aprobadas
1          |0            |0           |0         
2          |0            |0           |0         
5          |0            |0           |0         
7          |0            |0           |0         
7          |2            |0           |0         
9          |3            |0           |0         
11         |3            |0           |1         
13         |1            |1           |3         
14         |1            |2           |3         
15         |2            |2           |4         
17         |2            |2           |5         
19         |1            |2           |6         
21         |1            |2           |7         
22         |1            |2           |8         
24         |1            |2           |9         
26         |1            |2           |10        
28         |1            |2           |11        
29         |1            |2           |12        
31         |1            |2           |13        
32         |1            |2           |14        
34         |2            |2           |14        
36         |1            |2           |16        
38         |1            |2           |17        
40         |1            |2           |18        
41         |1            |2           |19        
43         |2            |2           |19        
45         |0            |2           |20        
45         |2            |2           |21        
48         |1            |2           |22        
49         |2            |2           |24        
51         |1            |2           |25        
53         |1            |2           |26        
54         |2            |2           |27        
57         |0            |3           |28        
58         |1            |3           |28        
57         |2            |4           |29        
60         |2            |4           |30        
61         |1            |4           |31        
63         |1            |4           |33        
65         |1            |4           |34        
66         |2            |4           |34        
68         |1            |4           |35        
70         |1            |4           |37        
71         |2            |4           |37        
73         |1            |4           |39        
75         |1            |4           |40        
77         |0            |4           |41        
79         |1            |4           |41        
80         |0            |5           |42        
83         |0            |5           |42        
84         |2            |5           |42        
86         |0            |5           |44        
88         |1            |5           |44        
90         |1            |5           |45        
92         |1            |5           |46        
93         |1            |6           |46        
95         |1            |6           |47        
96         |3            |6           |47        
99         |1            |6           |49        
99         |2            |6           |50        
100        |2            |6           |51        
102        |2            |6           |52        
104        |1            |6           |54        
104        |2            |6           |55        
106        |4            |6           |55        
107        |2            |7           |56        
109        |1            |7           |58        
110        |2            |7           |60        
112        |2            |7           |61        
113        |1            |7           |62        
113        |2            |7           |63        
111        |3            |8           |63        
110        |3            |8           |64        
108        |5            |9           |64        
106        |4            |10          |65        
104        |6            |10          |65        
103        |6            |10          |66        
101        |8            |10          |66        
100        |7            |11          |67        
98         |9            |11          |67        
96         |9            |11          |69        
95         |10           |11          |69        
93         |8            |13          |71        
91         |6            |13          |73        
90         |4            |13          |76        
89         |5            |14          |77        
88         |5            |14          |78        
86         |5            |15          |79        
85         |4            |15          |81        
83         |6            |15          |81        
82         |6            |15          |82        
80         |4            |15          |84        
79         |5            |15          |86        
77         |5            |16          |87        
75         |3            |16          |89        
74         |2            |16          |91        
73         |2            |17          |93        
72         |2            |17          |94        
70         |3            |17          |95        
69         |3            |17          |96        
67         |2            |17          |97        
66         |2            |18          |99        
65         |2            |18          |100       
63         |1            |20          |101       
61         |2            |20          |102       
60         |2            |20          |103       
58         |2            |22          |104       
56         |2            |22          |105       
54         |4            |22          |105       
52         |5            |22          |106       
51         |6            |22          |106       
49         |7            |22          |107       
47         |6            |23          |108       
45         |6            |24          |110       
44         |6            |24          |111       
43         |4            |25          |113       
42         |3            |25          |115       
40         |1            |26          |117       
38         |3            |26          |118       
35         |2            |27          |119       
34         |3            |27          |121       
33         |3            |27          |122       
31         |3            |28          |123       
30         |2            |29          |124       
26         |4            |31          |124       
25         |3            |32          |125       
22         |3            |33          |125       
21         |3            |33          |128       
20         |2            |33          |130       
19         |2            |33          |131       
17         |2            |34          |133       
14         |2            |35          |134       
12         |1            |35          |135       
11         |2            |35          |137       
10         |2            |35          |138       
8          |0            |35          |140       
7          |2            |36          |140       
5          |1            |36          |141       
4          |2            |36          |143       
3          |2            |36          |144       
1          |2            |36          |146       
0          |1            |37          |147       
0          |1            |37          |147       
0          |0            |37          |149       
Duración: 28.681 |  Ocupación Total: 80.10752688172043
