Tiempos por proceso
Reserva | Confirmación Pagos | Cancelación | Validación
74ms    |102ms               |62ms         |111ms      

Reservadas | Confirmadas | Canceladas | Aprobadas
0          |0            |0           |0         
1          |1            |0           |0         
2          |2            |1           |0         
4          |1            |1           |1         
6          |0            |1           |2         
8          |0            |1           |2         
10         |0            |1           |3         
11         |2            |1           |3         
14         |1            |1           |3         
14         |1            |1           |5         
16         |1            |1           |5         
18         |2            |1           |6         
19         |2            |1           |6         
22         |1            |1           |8         
22         |2            |1           |9         
25         |0            |2           |9         
26         |1            |2           |10        
28         |1            |2           |11        
30         |1            |2           |12        
31         |0            |3           |13        
31         |2            |4           |13        
33         |1            |4           |14        
36         |0            |4           |15        
37         |1            |4           |15        
40         |0            |4           |16        
41         |1            |4           |16        
42         |3            |4           |16        
44         |1            |4           |18        
45         |2            |4           |19        
47         |2            |4           |20        
48         |1            |4           |21        
49         |1            |4           |23        
51         |1            |4           |23        
51         |2            |5           |24        
54         |3            |5           |24        
55         |3            |5           |24        
57         |2            |5           |26        
59         |2            |6           |27        
60         |1            |6           |28        
60         |2            |6           |30        
63         |2            |6           |30        
65         |1            |6           |31        
66         |2            |6           |33        
68         |0            |6           |34        
70         |0            |7           |35        
70         |1            |7           |35        
72         |2            |7           |35        
74         |1            |7           |37        
76         |1            |7           |37        
78         |0            |7           |39        
80         |0            |8           |39        
81         |1            |8           |39        
82         |1            |8           |39        
84         |0            |9           |41        
86         |1            |9           |41        
87         |1            |9           |41        
88         |2            |9           |42        
90         |2            |9           |42        
91         |3            |10          |43        
92         |3            |11          |43        
93         |4            |11          |45        
95         |2            |11          |47        
95         |2            |12          |48        
98         |2            |12          |48        
100        |0            |12          |50        
101        |2            |12          |51        
103        |0            |13          |52        
105        |0            |13          |52        
106        |2            |13          |52        
107        |2            |14          |52        
109        |0            |15          |53        
109        |2            |15          |54        
111        |2            |15          |55        
112        |1            |15          |56        
110        |3            |15          |57        
107        |3            |16          |57        
106        |5            |16          |58        
105        |5            |16          |59        
103        |6            |17          |59        
101        |6            |18          |60        
99         |5            |18          |61        
98         |5            |18          |62        
97         |7            |18          |63        
95         |8            |20          |63        
92         |8            |21          |64        
90         |8            |21          |64        
89         |9            |21          |66        
88         |9            |21          |67        
87         |9            |21          |68        
85         |8            |21          |69        
84         |8            |21          |70        
83         |9            |21          |72        
81         |9            |22          |73        
79         |9            |22          |73        
78         |11           |22          |74        
77         |11           |22          |75        
76         |11           |22          |76        
74         |12           |22          |77        
73         |12           |22          |78        
72         |12           |22          |79        
71         |12           |22          |80        
68         |11           |24          |81        
66         |13           |24          |82        
65         |13           |24          |83        
63         |14           |24          |84        
62         |15           |24          |84        
60         |14           |24          |85        
59         |16           |24          |86        
58         |16           |24          |87        
57         |16           |24          |88        
55         |15           |24          |89        
54         |16           |24          |91        
53         |16           |24          |92        
52         |16           |24          |93        
51         |16           |24          |94        
49         |15           |24          |95        
48         |16           |24          |97        
47         |16           |24          |98        
45         |16           |26          |99        
42         |16           |27          |100       
40         |17           |27          |101       
37         |17           |28          |101       
36         |18           |28          |103       
35         |16           |28          |104       
34         |17           |29          |105       
32         |19           |29          |105       
31         |18           |29          |107       
30         |19           |29          |107       
28         |20           |29          |108       
26         |19           |30          |110       
25         |20           |30          |110       
24         |19           |30          |112       
22         |19           |31          |112       
20         |17           |32          |114       
19         |19           |32          |115       
18         |19           |32          |116       
16         |18           |32          |117       
15         |19           |33          |118       
14         |19           |33          |119       
13         |19           |33          |120       
11         |20           |33          |121       
10         |20           |33          |122       
9          |20           |33          |123       
7          |20           |34          |124       
5          |18           |35          |125       
3          |18           |36          |126       
2          |18           |36          |127       
1          |18           |36          |128       
0          |19           |36          |130       
0          |19           |36          |131       
0          |17           |36          |132       
0          |16           |36          |133       
0          |15           |36          |135       
0          |14           |36          |136       
0          |13           |36          |137       
0          |11           |36          |138       
0          |10           |36          |139       
0          |9            |36          |141       
0          |7            |36          |142       
0          |6            |36          |144       
0          |4            |36          |145       
0          |4            |36          |146       
0          |2            |36          |147       
0          |1            |36          |149       
0          |0            |36          |150       
Duración: 32.895 |  Ocupación Total: 80.64516129032258
